#lon lat ve vn vu se sn su name
175.24060 -40.58880 -14.57981 -4.10917 -1.13576 2.06749 1.02129 1.21781 levn
177.23440 -39.07720 0.95017 -17.46747 -1.43845 0.21396 0.21617 0.45060 wahu
175.23810 -40.08030 -4.83897 -2.15920 -2.38828 0.44169 0.24575 0.39545 gnbk
166.68071 -46.16619 -23.98468 -12.13071 1.39644 0.74955 0.43096 0.58864 pygr
176.06317 -39.48918 -1.44071 -6.53746 -0.26306 0.18739 0.44455 0.38139 bhst
169.88531 -43.58403 -13.61493 -3.60685 1.34735 0.30568 0.13969 0.44591 waka
175.34641 -39.28927 -0.77428 -2.12373 -0.48783 0.15663 0.24574 0.46486 vgpk
175.88569 -40.77601 -24.59911 -10.35634 -4.80232 0.38083 0.33032 0.65054 tint
176.51462 -38.33889 2.14073 -8.06156 -1.70409 0.13766 0.34659 0.63333 rgrr
175.99928 -40.60108 -23.24166 -10.35485 -3.90881 0.74546 0.61672 0.59592 ptoi
175.42692 -41.38152 -32.54308 -9.70259 -4.82236 0.20174 0.25797 0.40454 parw
177.88330 -38.92260 1.05166 -19.98078 -3.44544 0.63136 0.20515 0.54664 pari
174.95210 -41.02180 -17.87721 -5.03516 -1.25874 1.30075 0.41230 0.37020 paek
175.76132 -40.38542 -16.27242 -7.45392 -1.12301 1.42130 0.76268 1.52324 nrrd
176.80661 -39.09702 1.93212 -14.71291 -0.01784 0.18565 0.27039 0.52320 nmai
177.52620 -38.33382 1.97309 -16.32325 0.43674 0.14141 0.15091 0.38136 matw
175.57488 -40.66870 -19.55514 -7.34119 -2.09185 0.77568 0.20549 0.60713 mang
169.77516 -43.60839 -11.29094 -3.23024 1.03301 0.52068 0.15410 0.31750 kara
175.51519 -40.89722 -20.86658 -9.77173 -2.67065 0.66159 0.30536 0.49667 hold
177.56938 -38.68681 0.58281 -16.86178 0.56997 0.89032 0.14187 0.39579 hana
178.21110 -38.48800 -3.31067 -17.73470 -0.57212 1.67283 0.32232 0.49111 cnst
169.85585 -43.66623 -16.06842 -6.55372 3.38408 0.49530 0.37593 0.40320 cncl
175.14549 -41.14468 -23.60296 -8.39311 -2.16826 0.69340 0.39589 0.61642 clim
147.05569 -19.26928 0.18117 0.28224 -0.78288 0.10526 0.07878 0.29763 tow2
117.09719 -20.98143 -0.37288 0.50027 -0.58554 0.09067 0.07043 0.41698 karr
147.43874 -42.80471 0.11954 -0.43468 -1.02323 0.09589 0.12740 0.11723 hob2
133.80983 -31.86666 0.29985 -0.17159 -0.52738 0.06209 0.06831 0.29440 cedu
133.88552 -23.67012 0.17762 0.19295 -0.55023 0.07469 0.06882 0.20334 alic
177.81142 -38.43749 0.56943 -18.28051 -0.87091 0.43768 0.24771 0.62901 tkar
178.00589 -38.16241 1.35471 -18.70214 2.42898 0.16484 0.17888 0.50366 tauw
177.34750 -38.77961 1.65800 -17.10475 -0.92751 0.32097 0.29236 0.47801 snst
175.40432 -41.18691 -29.22619 -10.34224 -4.40503 0.17327 0.28738 0.71945 rdlv
177.67753 -37.96500 2.58228 -16.09927 -0.17949 0.19107 0.16186 0.55354 raum
177.08608 -38.91619 2.17861 -16.03178 -0.06416 0.19112 0.22343 0.47310 rahi
175.24138 -41.00159 -20.77334 -7.54592 -2.17979 1.43369 0.66868 0.79978 mtqn
176.74973 -38.61686 3.09911 -11.61427 -0.61550 0.17257 0.44410 0.47668 ming
171.57530 -43.59135 -30.20068 -13.35400 -0.86361 0.21271 0.34182 0.40635 meth
173.79381 -41.29139 -9.31560 -1.29194 -1.31561 2.17905 1.34320 0.48799 maha
176.77281 -38.05253 0.37114 -10.99684 -1.22780 0.42477 0.40573 0.45830 rgkw
178.40870 -37.82500 6.49609 -20.10280 -0.18989 0.36974 0.21300 0.44350 wmat
175.78560 -39.68250 -2.48642 -4.84184 0.81356 0.29259 0.21219 0.57093 thap
177.69789 -38.81420 -1.07948 -17.45720 0.69898 1.14305 0.15984 0.36367 prtu
175.53615 -40.18138 -8.13081 -2.65059 -0.67888 0.97251 0.53321 1.23894 mtbl
175.45928 -39.97628 -4.66104 -3.25785 -0.60409 0.38197 0.23818 0.49940 grng
178.04600 -38.41145 -0.21539 -18.49668 0.37898 0.61653 0.40463 0.40898 ahti
176.44060 -40.06420 -10.95703 -11.10313 -2.80157 0.41557 0.15120 0.37735 wpuk
176.54300 -39.89589 -10.42343 -11.53569 -3.50893 1.14311 0.14518 0.43691 wpaw
